[2026-03-31 12:01:42,196: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 12:01:43,339: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 12:01:44,113: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-03-31 12:01:44,451: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
[2026-03-31 12:01:45,217: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-03-31 12:01:45,547: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
[2026-03-31 12:01:46,056: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-03-31 12:01:46,844: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-03-31 12:01:46,924: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 12:01:51,613: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 12:01:51,936: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 12:01:52,207: INFO: utils: loaded the yaml file]
[2026-03-31 12:01:52,208: INFO: config: created the artifacts]
[2026-03-31 12:01:52,211: INFO: utils: created the path artifacts]
[2026-03-31 12:01:52,213: INFO: config: starting the validation----]
[2026-04-01 10:55:34,947: INFO: main: started data_ingestion]
[2026-04-01 10:55:34,947: INFO: utils: loaded the yaml file]
[2026-04-01 10:55:34,966: INFO: utils: created the path artifacts]
[2026-04-01 10:55:34,967: INFO: main: started the getting the artifacts]
[2026-04-01 10:55:34,968: INFO: main: check your artifacts folder all good]
[2026-04-01 10:55:35,679: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-04-01 10:55:35,755: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
[2026-04-01 10:55:36,328: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
